id,sensing_time,mission_id,cloud_cover,mean_ndvi
370,2019-05-07T17:18:29,SENTINEL-2A,0.604,0.299635
371,2019-05-17T17:18:28,SENTINEL-2A,68.778,0.107574
368,2019-05-17T17:18:35,SENTINEL-2A,87.9551,0.131883
546,2019-05-27T17:18:28,SENTINEL-2A,32.3316,0.262964
462,2019-06-06T17:18:27,SENTINEL-2A,82.2254,0.044753
194,2019-06-26T17:18:30,SENTINEL-2A,59.8525,0.077463
1090,2019-07-06T17:18:30,SENTINEL-2A,5.2675,0.388475
1086,2019-07-16T17:18:31.049000,SENTINEL-2A,8.0941,0.373120
1089,2019-07-16T17:18:39.197000,SENTINEL-2A,18.8565,0.016337
499,2019-07-26T17:18:30.774000,SENTINEL-2A,92.5204,0.041108
459,2019-08-05T17:18:30.133000,SENTINEL-2A,40.8092,0.269496
456,2019-08-15T17:18:29.055000,SENTINEL-2A,5.6571,0.439272
70,2019-08-25T17:18:27.546000,SENTINEL-2A,35.0153,0.358989
513,2019-09-04T17:18:25.647000,SENTINEL-2A,51.3346,0.141897
514,2019-09-14T17:18:24.727000,SENTINEL-2A,73.9239,0.132568
587,2019-09-24T17:18:26.585000,SENTINEL-2A,23.12,0.254782
87,2019-10-04T17:18:27.987000,SENTINEL-2A,21.5231,0.262170
84,2019-10-14T17:18:28.864000,SENTINEL-2A,2.9417,0.454194
424,2019-10-24T17:18:29.152000,SENTINEL-2A,29.976,0.212561
278,2019-11-13T17:18:27.949000,SENTINEL-2A,48.2064,0.251230
280,2019-11-23T17:18:26.363000,SENTINEL-2A,3.0141,0.419958
1006,2019-12-03T17:18:24.145000,SENTINEL-2A,0.9298,0.446653
1007,2019-12-13T17:18:21.349000,SENTINEL-2A,1.1963,0.378421
1005,2019-12-23T17:18:20.166000,SENTINEL-2A,3.3975,0.332836
713,2020-01-02T17:18:20.358000,SENTINEL-2A,41.838,0.230954
714,2020-01-12T17:18:20.139000,SENTINEL-2A,69.2603,0.330176
711,2020-01-22T17:18:19.338000,SENTINEL-2A,0.3028,0.367120
1098,2020-02-01T17:18:18.037000,SENTINEL-2A,76.4406,0.132803
1101,2020-02-11T17:18:18.659000,SENTINEL-2A,0.1736,0.345182
1100,2020-02-21T17:18:20.315000,SENTINEL-2A,10.0976,0.255978
607,2020-03-02T17:18:21.432000,SENTINEL-2A,10.148,0.194363
609,2020-03-12T17:18:22.060000,SENTINEL-2A,1.4477,0.275126
37,2020-03-22T17:18:22.163000,SENTINEL-2A,0.7978,0.304211
